# S1              S2
  1.6901130e+001  1.9679893e+003
  6.0306350e+000  9.5417722e+002
  2.4979920e+001  2.2511480e+003
  7.6654700e+000  1.5860132e+003
  2.2413260e+001  2.2489874e+003
  1.5890110e+001  2.9446854e+003
  3.5356460e+001  3.2168720e+003
  3.7204140e+001  3.1351207e+003
  6.2360910e+000  1.2358149e+003
  3.5670040e+001  2.6584629e+003
  8.2442960e+000  1.1773283e+003
  1.3844810e+001  9.4533993e+002
  9.5808260e+000  1.7023269e+003
  3.5881900e+001  4.8516385e+003
  7.1058490e+000  1.4555126e+003
  2.5293760e+001  2.8013243e+003
  1.0778950e+001  1.0995082e+003
  3.0410410e+001  2.4318976e+003
  1.4918120e+000  9.6902079e+002
  7.3773410e+000  1.1190329e+003
  6.8703720e+000  1.5913667e+003
  2.6724680e+001  1.3881568e+003
  2.8407940e+001  1.8317059e+003
  1.4966670e+001  2.7053607e+003
  2.2964720e+001  2.2543283e+003
  2.3863490e+001  2.0067255e+003
  1.3444600e+001  1.4315347e+003
  1.4548770e+001  1.6155161e+003
  9.4456090e+000  1.7550842e+003
  8.2650180e+000  1.1700241e+003
  8.2441170e+000  2.4131268e+003
  3.8833390e+001  3.6315690e+003
  2.1984390e+001  2.5249421e+003
  1.2505410e+001  1.1720279e+003
  5.9062030e+000  9.5426143e+002
  3.3165440e+001  3.9664845e+003
  2.0695990e+001  2.1841236e+003
  1.8488800e+001  3.0914678e+003
  3.6462180e+000  1.0559482e+003
  1.1728380e+001  9.9722470e+002
  2.6015100e+001  2.5252449e+003
  3.5621490e+001  4.1594517e+003
  1.4362680e+001  2.9263110e+003
  3.3368880e+001  3.6844242e+003
  1.5672390e+001  1.9934908e+003
  2.5188050e+001  3.3025967e+003
  1.2886400e+001  1.7661786e+003
  1.9962360e+001  2.4222774e+003
  3.2224580e+001  2.1637459e+003
  2.2890400e+001  1.4301296e+003
  2.3277130e+001  2.3837320e+003
